Time,Global_ID,Local_ID,Lane_Path,Final_Lane,Unique_Key,Radar_Dist,Radar_Vel,Track_Vel,Score,Reproj_Error_px
1771495727.472983,230,3,IN1,IN1,3(IN1),-1.0,,33.91790963067268,54.434237482060375,61.379878997802734
1771495727.472983,227,32,IN2,IN2,32(IN2),-1.0,,37.36333017470526,29.718574020902494,
1771495727.472983,225,20,IN3,IN3,20(IN3),95.1353043890059,43.55920486450196,42.67742545222315,67.06350309572518,
1771495727.472983,219,31,IN2,IN2,31(IN2),79.25372578918864,33.861717224121094,34.318711560004935,24.290425531501242,60.5698356628418
1771495727.472983,215,30,IN2,IN2,30(IN2),66.14756550872193,33.702741622924805,33.815414623463276,20.10358310547089,49.71285629272461
1771495727.472983,204,19,IN3,IN3,19(IN3),60.13414575479493,37.20019798278809,37.7327755782648,37.877114131182104,62.627769470214844
1771495727.472983,165,12,OUT1,OUT1,12(OUT1),88.58222491111843,,0.0,46.553358903360596,
1771495727.472983,151,11,OUT1,OUT1,11(OUT1),95.7520663089305,,0.0,76.79294750498842,
1771495727.472983,86,5,OUT2,OUT2,5(OUT2),-1.0,,0.0,49.92205489565287,
1771495727.5304646,233,9,OUT3,OUT3,9(OUT3),52.424639874242196,46.42075881958008,46.42075881958008,50.041821926839845,
1771495727.5304646,230,3,IN1,IN1,3(IN1),-1.0,,33.91790963067268,54.434237482060375,
1771495727.5304646,227,32,IN2,IN2,32(IN2),-1.0,,37.36333017470526,29.718574020902494,
1771495727.5304646,225,20,IN3,IN3,20(IN3),95.1353043890059,43.55920486450196,43.02846777104284,65.6323823722542,71.91381072998047
1771495727.5304646,219,31,IN2,IN2,31(IN2),79.25372578918864,33.861717224121094,34.16885326395105,23.926804095754715,59.13059616088867
1771495727.5304646,215,30,IN2,IN2,30(IN2),66.14756550872193,33.702741622924805,33.778465630181245,19.928601655937296,49.987693786621094
1771495727.5304646,204,19,IN3,IN3,19(IN3),60.2883368184417,37.20019798278809,37.55742926495644,37.6463929630776,62.121192932128906
1771495727.5304646,165,12,OUT1,OUT1,12(OUT1),88.58222491111843,,0.0,46.553358903360596,
1771495727.5304646,151,11,OUT1,OUT1,11(OUT1),95.7520663089305,,0.0,76.79294750498842,
1771495727.5304646,86,5,OUT2,OUT2,5(OUT2),-1.0,,0.0,49.92205489565287,
1771495727.5792644,233,9,OUT3,OUT3,9(OUT3),54.12073122894776,46.26178321838379,46.36651746523258,50.61749252783884,118.17728424072266
1771495727.5792644,230,3,IN1,IN1,3(IN1),75.09059171576705,33.702741622924805,33.810532195969046,53.349363013137356,
1771495727.5792644,227,32,IN2,IN2,32(IN2),88.3509375558304,35.133518600463866,36.19427051483866,29.37484292645423,
1771495727.5792644,225,20,IN3,IN3,20(IN3),88.65931761501798,,43.02846777104284,65.50111760750968,71.56985473632812
1771495727.5792644,219,31,IN2,IN2,31(IN2),79.09953220856114,33.702741622924805,34.01600520697423,23.573862280239545,
1771495727.5792644,215,30,IN2,IN2,30(IN2),50.1117915645602,33.38479042053223,33.64936932531114,19.756600824596113,47.368133544921875
1771495727.5792644,204,19,IN3,IN3,19(IN3),74.2425469244661,18.36163558959961,37.55742926495644,37.57110017715145,62.344974517822266
1771495727.5792644,165,12,OUT1,OUT1,12(OUT1),88.81351727651621,,0.0,46.553358903360596,
1771495727.5792644,151,11,OUT1,OUT1,11(OUT1),95.75207139853822,,0.0,76.79294750498842,
1771495727.5792644,86,5,OUT2,OUT2,5(OUT2),-1.0,,0.0,49.92205489565287,
1771495727.627861,233,9,OUT3,OUT3,9(OUT3),-1.0,,46.36651746523258,50.516257542783165,120.88919830322266
1771495727.627861,230,3,IN1,IN1,3(IN1),74.6280213584309,33.702741622924805,33.76771327847532,52.270381650991325,
1771495727.627861,227,32,IN2,IN2,32(IN2),88.35093518828236,34.97454299926758,35.698723630315975,29.018001943562087,63.32411193847656
1771495727.627861,225,20,IN3,IN3,20(IN3),88.81350725057756,,43.02846777104284,65.50111760750968,
1771495727.627861,219,31,IN2,IN2,31(IN2),77.86601384717817,33.702741622924805,33.91327932345772,23.23113573458418,60.100341796875
1771495727.627861,215,30,IN2,IN2,30(IN2),-1.0,,33.64936932531114,19.71708762294692,
1771495727.627861,204,19,IN3,IN3,19(IN3),58.51514864291569,36.564295578002934,37.16647182907092,37.36734843647151,63.97418212890625
1771495727.627861,165,12,OUT1,OUT1,12(OUT1),95.75206845426617,,0.0,46.553358903360596,76.74470520019531
1771495727.627861,151,11,OUT1,OUT1,11(OUT1),96.06044888144258,,0.0,76.79294750498842,
1771495727.627861,86,5,OUT2,OUT2,5(OUT2),-1.0,,0.0,49.92205489565287,
1771495727.6806347,233,9,OUT3,OUT3,9(OUT3),55.045876592546435,45.94383201599121,46.19827894778542,51.29920835205225,116.08349609375
1771495727.6806347,230,3,IN1,IN1,3(IN1),-1.0,,33.76771327847532,52.16584088768934,
1771495727.6806347,227,32,IN2,IN2,32(IN2),92.97664691640779,44.35407943725586,36.332008199102596,28.770791052216566,
1771495727.6806347,225,20,IN3,IN3,20(IN3),92.28279410938333,44.35407943725586,43.6482560435662,64.2201190782241,71.91381072998047
1771495727.6806347,219,31,IN2,IN2,31(IN2),82.33752554919052,34.97454299926758,34.261290564759534,22.898186644003996,60.20750427246094
1771495727.6806347,215,30,IN2,IN2,30(IN2),49.340841276085065,33.22581825256348,33.48283895227541,19.587465935645277,
1771495727.6806347,204,19,IN3,IN3,19(IN3),58.438054985337146,36.405319976806645,36.89522873470637,37.12390362350587,67.18511962890625
1771495727.6806347,165,12,OUT1,OUT1,12(OUT1),88.96770744069617,,0.0,46.553358903360596,
1771495727.6806347,151,11,OUT1,OUT1,11(OUT1),95.75207139853822,,0.0,76.79294750498842,
1771495727.6806347,86,5,OUT2,OUT2,5(OUT2),-1.0,,0.0,49.92205489565287,
1771495727.7358358,233,9,OUT3,OUT3,9(OUT3),55.971017073903816,45.94383201599121,46.107145995863114,51.84017427950933,116.08349609375
1771495727.7358358,230,3,IN1,IN1,3(IN1),78.17439124845089,33.543766021728516,33.67417704555894,51.24809850875839,
1771495727.7358358,227,32,IN2,IN2,32(IN2),92.51407960684853,44.67203063964844,36.99442084253521,28.428308484586235,
1771495727.7358358,225,20,IN3,IN3,20(IN3),91.74312824579744,44.51305503845215,43.981704492594,62.95368055345944,71.91381072998047
1771495727.7358358,219,31,IN2,IN2,31(IN2),82.80009368214097,34.97454299926758,34.495181416534294,22.574601860512065,60.20750427246094
1771495727.7358358,215,30,IN2,IN2,30(IN2),56.2793956689915,33.22581825256348,33.391298918962256,19.421163856973997,
1771495727.7358358,204,19,IN3,IN3,19(IN3),57.51291731545365,36.246344375610356,36.67426710497021,36.85598613631205,67.18511962890625
1771495727.7358358,165,12,OUT1,OUT1,12(OUT1),88.5051293664581,,0.0,46.553358903360596,
1771495727.7358358,151,11,OUT1,OUT1,11(OUT1),95.75206935070212,,0.0,76.79294750498842,
1771495727.7358358,86,5,OUT2,OUT2,5(OUT2),-1.0,,0.0,49.92205489565287,
1771495727.7961237,233,9,OUT3,OUT3,9(OUT3),-1.0,,46.107145995863114,51.73649393095031,114.04816436767578
1771495727.7961237,230,3,IN1,IN1,3(IN1),86.80903353446492,34.81556739807129,34.09210193067864,50.36683939828119,60.84669494628906
1771495727.7961237,227,32,IN2,IN2,32(IN2),91.58893385248838,44.83100624084473,37.71787627161236,28.045739196775727,
1771495727.7961237,225,20,IN3,IN3,20(IN3),88.35094134124644,,43.981704492594,62.827773192352524,
1771495727.7961237,219,31,IN2,IN2,31(IN2),86.50065189514571,34.81556739807129,34.60024288775073,22.25999118986935,59.93368911743164
1771495727.7961237,215,30,IN2,IN2,30(IN2),71.54422132083651,33.543766021728516,33.44320454906636,19.257623699299504,
1771495727.7961237,204,19,IN3,IN3,19(IN3),57.35872717197034,36.08736877441407,36.47849731926206,36.59821587161767,66.8084716796875
1771495727.7961237,165,12,OUT1,OUT1,12(OUT1),95.75207007465372,,0.0,46.553358903360596,76.74470520019531
1771495727.7961237,151,11,OUT1,OUT1,11(OUT1),95.75206935070212,,0.0,76.79294750498842,
1771495727.7961237,86,5,OUT2,OUT2,5(OUT2),-1.0,,0.0,49.92205489565287,
1771495727.841689,233,9,OUT3,OUT3,9(OUT3),-1.0,,46.107145995863114,51.73649393095031,115.06436920166016
1771495727.841689,230,3,IN1,IN1,3(IN1),90.35541079443381,37.51814575195313,34.63888633161858,49.71443508908309,
1771495727.841689,227,32,IN2,IN2,32(IN2),86.50065548176707,34.81556739807129,38.2646606725523,27.82817887715936,65.58777618408203
1771495727.841689,225,20,IN3,IN3,20(IN3),88.65932084549097,,43.981704492594,62.827773192352524,
1771495727.841689,219,31,IN2,IN2,31(IN2),86.19227385092175,34.81556739807129,34.670852437315524,21.953985819339874,58.71238327026367
1771495727.841689,215,30,IN2,IN2,30(IN2),71.08165248478157,33.38479042053223,33.42372179904056,19.096776919224055,50.797672271728516
1771495727.841689,204,19,IN3,IN3,19(IN3),56.27939540168108,35.92839660644531,36.29671004281879,36.36458471923888,63.292869567871094
1771495727.841689,165,12,OUT1,OUT1,12(OUT1),87.88836831222608,,0.0,46.553358903360596,75.08635711669922
1771495727.841689,151,11,OUT1,OUT1,11(OUT1),95.44368752517856,,0.0,76.79294750498842,
1771495727.841689,86,5,OUT2,OUT2,5(OUT2),-1.0,,0.0,49.92205489565287,
1771495727.895199,233,9,OUT3,OUT3,9(OUT3),58.129678443108695,45.466905212402345,45.815210287331645,53.16919935060861,
1771495727.895199,230,3,IN1,IN1,3(IN1),80.33305453706238,33.38479042053223,34.63978823876666,49.09516890911496,62.81386947631836
1771495727.895199,227,32,IN2,IN2,32(IN2),86.0380871877995,34.656591796875,38.063473043769086,27.680616062232932,
1771495727.895199,225,20,IN3,IN3,20(IN3),89.12189062284295,,43.981704492594,62.827773192352524,70.45459747314453
1771495727.895199,219,31,IN2,IN2,31(IN2),85.8838986865302,34.656591796875,34.666176065840155,21.65623687293078,59.81109619140625
1771495727.895199,215,30,IN2,IN2,30(IN2),55.20006601878878,33.06684265136719,33.30579306755269,18.9385572229943,48.63435363769531
1771495727.895199,204,19,IN3,IN3,19(IN3),55.97101587070615,35.92839660644531,36.1755102421387,36.0641229973766,65.81867980957031
1771495727.895199,165,12,OUT1,OUT1,12(OUT1),92.28279125904744,,0.0,46.553358903360596,
1771495727.895199,151,11,OUT1,OUT1,11(OUT1),95.28949952386255,,0.0,76.79294750498842,
1771495727.895199,86,5,OUT2,OUT2,5(OUT2),-1.0,,0.0,49.92205489565287,
1771495727.9557714,233,9,OUT3,OUT3,9(OUT3),58.74643656892886,45.466905212402345,45.68244346606905,54.373280509982095,
